2061123000;"20061123/000/LetsGoPublic-20061123-000-input_and_output.wav";23;129.4;1;"found out that there is no solution";"female";"adult"
2061122000;"20061122/000/LetsGoPublic-20061122-000-input_and_output.wav";19;59.7;0;"completed";"female";"adult"
2061122001;"20061122/001/LetsGoPublic-20061122-001-input_and_output.wav";32;182.9;0;"completed";"male";"adult"
2061122002;"20061122/002/LetsGoPublic-20061122-002-input_and_output.wav";29;114.7;0;"completed";"female";"adult"
2061122003;"20061122/003/LetsGoPublic-20061122-003-input_and_output.wav";32;147.6;0;"found out that there is no solution";"male";"adult"
2061122004;"20061122/004/LetsGoPublic-20061122-004-input_and_output.wav";38;147;0;"completed";"female";"adult"
2061122005;"20061122/005/LetsGoPublic-20061122-005-input_and_output.wav";3;0.2;0;"completed";"unknown";"unknown"
2061122006;"20061122/006/LetsGoPublic-20061122-006-input_and_output.wav";22;69.8;0;"Not completed";"female";"adult"
2061122007;"20061122/007/LetsGoPublic-20061122-007-input_and_output.wav";18;57.5;0;"completed";"female";"adult"
2061122008;"20061122/008/LetsGoPublic-20061122-008-input_and_output.wav";24;81.4;0;"completed";"male";"adult"
2061122009;"20061122/009/LetsGoPublic-20061122-009-input_and_output.wav";45;225.7;0;"completed";"female";"adult"
2061122010;"20061122/010/LetsGoPublic-20061122-010-input_and_output.wav";14;43.5;0;"found out that there is no solution";"male";"adult"
2061122011;"20061122/011/LetsGoPublic-20061122-011-input_and_output.wav";23;95;0;"completed";"male";"adult"
2061122012;"20061122/012/LetsGoPublic-20061122-012-input_and_output.wav";54;253.6;0;"completed";"female";"youth"
2061122014;"20061122/014/LetsGoPublic-20061122-014-input_and_output.wav";22;103.4;0;"completed";"male";"adult"
2061122015;"20061122/015/LetsGoPublic-20061122-015-input_and_output.wav";46;337.1;0;"completed";"male";"adult"
2061122016;"20061122/016/LetsGoPublic-20061122-016-input_and_output.wav";44;288.3;0;"completed";"male";"adult"
2061122017;"20061122/017/LetsGoPublic-20061122-017-input_and_output.wav";21;78;0;"Not completed";"male";"adult"
2061122018;"20061122/018/LetsGoPublic-20061122-018-input_and_output.wav";7;18.3;0;"found out that there is no solution";"male";"adult"
2061122019;"20061122/019/LetsGoPublic-20061122-019-input_and_output.wav";27;125;0;"completed";"male";"adult"
2061122020;"20061122/020/LetsGoPublic-20061122-020-input_and_output.wav";39;115.4;0;"completed";"male";"mixed"
2061122021;"20061122/021/LetsGoPublic-20061122-021-input_and_output.wav";24;90.5;0;"failed due to system behaviour";"male";"adult"
2061122022;"20061122/022/LetsGoPublic-20061122-022-input_and_output.wav";14;42.9;0;"completed";"male";"adult"
2061122023;"20061122/023/LetsGoPublic-20061122-023-input_and_output.wav";23;74.9;1;"completed";"female";"adult"
2061122024;"20061122/024/LetsGoPublic-20061122-024-input_and_output.wav";52;242.3;1;"completed";"female";"youth"
2061122025;"20061122/025/LetsGoPublic-20061122-025-input_and_output.wav";37;199;1;"found out that there is no solution";"male";"adult"
2061122026;"20061122/026/LetsGoPublic-20061122-026-input_and_output.wav";9;27.5;1;"found out that there is no solution";"female";"youth"
2061122027;"20061122/027/LetsGoPublic-20061122-027-input_and_output.wav";20;134.2;1;"Not completed";"female";"adult"
2061122028;"20061122/028/LetsGoPublic-20061122-028-input_and_output.wav";22;81;1;"completed";"male";"adult"
2061122029;"20061122/029/LetsGoPublic-20061122-029-input_and_output.wav";11;74.5;1;"Not completed";"female";"elder"
2061122030;"20061122/030/LetsGoPublic-20061122-030-input_and_output.wav";34;162;1;"Not completed";"mixed";"youth"
2061123001;"20061123/001/LetsGoPublic-20061123-001-input_and_output.wav";22;61.6;1;"failed due to system behaviour";"female";"adult"
2061123002;"20061123/002/LetsGoPublic-20061123-002-input_and_output.wav";57;267;1;"completed";"male";"adult"
2061123003;"20061123/003/LetsGoPublic-20061123-003-input_and_output.wav";29;110.1;1;"failed due to system behaviour";"female";"adult"
2061123004;"20061123/004/LetsGoPublic-20061123-004-input_and_output.wav";20;106.3;1;"completed";"female";"adult"
2061123005;"20061123/005/LetsGoPublic-20061123-005-input_and_output.wav";36;172.8;1;"found out that there is no solution";"male";"adult"
2061123006;"20061123/006/LetsGoPublic-20061123-006-input_and_output.wav";23;102.9;1;"found out that there is no solution";"male";"adult"
2061123007;"20061123/007/LetsGoPublic-20061123-007-input_and_output.wav";40;147;1;"found out that there is no solution";"male";"adult"
2061123009;"20061123/009/LetsGoPublic-20061123-009-input_and_output.wav";12;39.1;1;"Not completed";"male";"adult"
2061123010;"20061123/010/LetsGoPublic-20061123-010-input_and_output.wav";33;179.5;1;"completed";"male";"adult"
2061123011;"20061123/011/LetsGoPublic-20061123-011-input_and_output.wav";21;100.6;1;"completed";"male";"adult"
2061123012;"20061123/012/LetsGoPublic-20061123-012-input_and_output.wav";24;132.5;1;"completed";"male";"adult"
2061123014;"20061123/014/LetsGoPublic-20061123-014-input_and_output.wav";3;0.1;1;"completed";"unknown";"unknown"
2061123015;"20061123/015/LetsGoPublic-20061123-015-input_and_output.wav";7;27.5;1;"completed";"male";"adult"
2061123016;"20061123/016/LetsGoPublic-20061123-016-input_and_output.wav";16;56.1;1;"completed";"female";"adult"
2061123017;"20061123/017/LetsGoPublic-20061123-017-input_and_output.wav";11;70.4;1;"found out that there is no solution";"unknown";"unknown"
2061123018;"20061123/018/LetsGoPublic-20061123-018-input_and_output.wav";11;47;1;"Not completed";"female";"adult"
2061123019;"20061123/019/LetsGoPublic-20061123-019-input_and_output.wav";17;69.4;1;"found out that there is no solution";"male";"adult"
